Name	Description	sample12101	sample12104	sample12105	sample12109	sample12110	sample12112	sample12115	sample12119	sample12120	sample12121	sample12127	sample12100	sample12102	sample12103	sample12107	sample12108	sample12111	sample12113
MMRN2	ENSG00000173269	1580.839208	2259.441367	1769.942968	1396.701651	1724.291733	1899.524512	1724.230284	2041.373601	2989.341391	2338.647187	2293.010616	1679.6525	1394.572607	1095.879917	1310.624589	1253.89656	985.8797851	1435.201224
RP13-884E18.4	ENSG00000250777	1.885318078	6.747958289	0	5.337713314	1.10248832	0	3.378635435	0.900076544	3.707710252	0.8409375	5.267828785	5.11829101	3.818131709	8.637477179	14.75626456	13.45382575	7.525799886	10.78361576
PGRMC1	ENSG00000101856	544.8569246	558.9558782	486.3728925	508.8620026	838.9936116	842.4145705	900.9694493	644.4548054	624.7491775	886.3481248	605.0477633	772.8619425	924.9424065	1142.306357	1577.578829	1637.779055	882.1909867	1179.335432
IGF1	ENSG00000017427	759.7831855	394.7555599	378.9784534	649.4217866	895.2205159	739.3993031	614.9116492	401.4341385	432.875172	475.1296874	708.8992451	488.7967914	2197.334799	3901.980316	3789.677035	2623.496022	1109.637383	1744.004766
RP11-146D12.2	ENSG00000240240	81.06867736	69.72890232	48.53402536	37.3639932	42.99704448	45.24969693	84.46588587	71.10604696	76.00806017	55.50187499	85.03780753	90.42314117	63.95370613	126.3231037	183.7825677	168.6212828	119.5765982	184.3017966
RP1-30G7.2	ENSG00000236751	12.25456751	12.37125686	21.68541559	10.67542663	4.40995328	4.813797546	7.883482682	18.00153088	16.68469614	13.455	14.29839242	8.530485016	4.772664636	5.398423237	4.024435789	0.896921717	2.508599962	5.881972231
VCAM1	ENSG00000162692	164.0226728	140.5824643	179.6791577	98.74769632	94.81399553	96.27595092	117.1260284	68.40581733	107.5235973	108.4809375	119.6549681	197.0542039	299.7233392	217.0166141	304.5156414	130.0536489	194.8345971	168.6165373
CXCL3	ENSG00000163734	5.655954234	11.24659715	6.195833025	5.337713314	4.40995328	5.776557055	3.378635435	7.200612351	11.12313076	10.9321875	12.79329848	1.706097003	5.727197564	0	0	1.793843434	2.508599962	1.96065741
COL3A1	ENSG00000168542	11910.49696	7248.431862	7663.212813	11273.25052	19279.21325	5374.12358	12002.03928	5708.285441	4531.748856	7174.878748	9700.330435	15792.48691	15992.24466	27304.14505	27500.31123	21466.92437	22170.17027	12085.49228
STAT4	ENSG00000138378	66.92879177	38.2384303	47.50138653	33.80551766	45.20202112	55.84005153	30.40771891	56.70482226	63.95800185	42.88781249	35.36970756	42.65242508	130.771011	142.5183735	178.4166533	196.425856	54.35299918	131.3640465
FMO1	ENSG00000010932	85.78197255	59.60696488	85.70902351	75.61760529	52.91943936	53.91453251	61.94164964	62.10528152	55.61565378	48.77437499	52.67828785	76.77436515	130.771011	131.721527	119.3915951	69.95989391	110.3783983	90.19024087
ABHD5	ENSG00000011198	283.7403708	266.5443524	446.0999778	185.0407282	264.5971968	361.0348159	433.5915475	371.7316126	205.777919	273.3046874	212.2182453	250.7962595	469.6302002	970.636498	961.8401537	932.7985855	557.7453916	604.8628111
ULK4P1	ENSG00000261279	25.45179405	50.60968716	57.8277749	32.02627989	63.94432257	65.46764662	22.52423623	34.20290867	60.2502916	55.50187499	57.19356967	44.35852208	58.22650856	123.0840498	134.1478596	104.9398409	102.0163985	116.6591159
ULK4P3	ENSG00000178081	23.56647598	48.36036774	55.76249723	28.46780434	56.22690432	63.54212761	28.15529529	30.60260249	63.95800185	56.34281249	60.95630452	47.77071609	56.31744271	124.1637344	122.0745523	102.2490757	91.98199861	108.8164863
ULK4P2	ENSG00000260128	28.27977117	50.60968716	52.66458071	33.80551766	56.22690432	62.5793681	23.65044804	39.60336793	62.10414673	50.45624999	55.68847573	44.35852208	55.36290978	122.0043652	124.7575095	100.4552323	92.8181986	113.7181298
