CHD_1	CHD_2	HFD_3	HFD_1	HFD_2	CHD_3
peak_80	46.7570031767907	17.8865205613773	71.6668576256091	94.8537696146339	142.019235943998	25.1021444735183
peak_81	66.1440532744845	43.4386927919163	98.8508381042884	103.839916209705	113.860249506826	44.9196269526117
peak_82	22.8082942325808	20.4417377844312	46.954148099537	67.8953298294222	44.0749352929648	17.8357342311841
peak_83	77.5482003907749	63.0286915019962	64.2530447677875	44.9307329753529	46.5235428092407	60.7736129358864
peak_84	41.0549296186455	52.8078226097806	51.8966900047514	49.923036639281	52.6450615999302	33.0291374651557
peak_85	94.6544210652105	89.4326028068865	117.385370248843	122.810670132631	104.065819441723	105.693239888498
peak_86	229.223357037438	229.1178110005	234.770740497685	214.669057548908	210.580246399721	192.229580047206
peak_87	19.3870500976937	12.7760861152695	50.6610545284478	27.9569005179974	29.3832901953099	15.8539859832747
peak_88	36.4932707721294	43.4386927919163	34.597793336501	28.955361250783	42.8506315348269	29.7262237186401
peak_89	31.9316119256132	40.0317364945111	45.7185126232334	50.9214973720666	50.1964540836544	48.2225406991273
peak_90	99.2160799117267	125.205643929641	116.149734772539	86.866083752349	80.8040480371022	124.850139618288
peak_91	21.6678795209518	14.4795642639721	32.1265223838937	47.9261151737098	35.5048089859995	30.3868064679432
peak_92	114.041471162904	160.978685052396	71.6668576256091	114.822984270346	68.5610104557231	116.262563877348
peak_93	71.8461268326297	90.2843418812378	32.1265223838937	57.910722501566	39.1777202604132	70.6823541754331
peak_94	100.356494623356	111.57781874002	44.4828771469298	61.9045654327085	44.0749352929648	107.674988136407
peak_95	61.5823944279683	75.8047776172657	79.0806704834308	61.9045654327085	44.0749352929648	59.4524474372802
peak_96	80.969444525662	120.095209483533	100.086473580592	108.832219873633	97.944300651033	73.3246851726456
peak_97	11.4041471162904	11.0726079665669	22.2414385734649	35.9445863802823	20.8131638883445	11.890489487456
peak_98	86.6715180838072	97.9499935503995	107.500286438414	106.835298408061	79.5797442789643	93.142167651739
peak_99	311.333216274729	339.843890666169	285.431795026133	309.522827163542	309.748850808892	300.565150932917
peak_100	9.12331769303234	8.517390743513	53.132325481055	62.9030261654941	63.6637954231714	11.2299067381529
peak_101	42.1953443302746	22.9969550074851	34.597793336501	28.955361250783	41.626327776689	18.4963169804872
peak_102	50.1782473116779	30.6626066766468	37.0690642891082	31.9507434491399	40.4020240185511	32.3685547158526
peak_103	10.2637324046614	9.3691298178643	42.0116061943226	37.9415078458536	52.6450615999302	12.5510722367592
peak_104	17.1062206744356	10.2208688922156	53.132325481055	44.9307329753529	53.8693653580681	15.1934032339716
peak_105	21.6678795209518	18.7382596357286	35.8334288128046	35.9445863802823	31.8318977115857	23.7809789749121
peak_106	44.4761737535327	25.552172230539	109.971557391021	91.8583874162771	93.0470856184813	42.2772959553993
