"","ensembl_gene_id","hgnc_symbol"
"720","ENSG00000172890","NADSYN1"
"721","ENSG00000221369","MIR548G"
"722","ENSG00000222845","RN7SKP42"
"723","ENSG00000264560",""
"724","ENSG00000200761","RN7SKP113"
"725","ENSG00000252627","RNU6-122P"
"726","ENSG00000221693",""
"727","ENSG00000199566",""
"728","ENSG00000267710",""
"729","ENSG00000226210",""
"730","ENSG00000238875","RN7SKP210"
"731","ENSG00000253012",""
"732","ENSG00000266361",""
"733","ENSG00000201671","RNA5SP90"
"734","ENSG00000266755",""
"735","ENSG00000212229",""
"736","ENSG00000252539","RNA5SP462"
"737","ENSG00000201026",""
"738","ENSG00000251454",""
"739","ENSG00000206983","RNU6-49P"
"740","ENSG00000252032","RNU6-1281P"
"741","ENSG00000221439","RNU4ATAC16P"
"742","ENSG00000198677","TTC37"
"743","ENSG00000222170","RNU6-257P"
"744","ENSG00000222592","RNU6-887P"
"745","ENSG00000263985",""
"746","ENSG00000266618","MIR4742"
"747","ENSG00000263909","MIR5000"
"748","ENSG00000199424",""
"749","ENSG00000206795",""
"750","ENSG00000222740","RNA5SP328"
"751","ENSG00000265619",""
"752","ENSG00000261108",""
"753","ENSG00000263954",""
"754","ENSG00000265587",""
"755","ENSG00000221230","MIR548L"
"756","ENSG00000251809","RN7SKP14"
"757","ENSG00000199910","RNA5S10"
"758","ENSG00000266012","MIR4764"
"759","ENSG00000206866","RNU6-187P"
"760","ENSG00000253058","RNA5SP437"
"761","ENSG00000108813","DLX4"
"762","ENSG00000242685","HLA-DMA"
"763","ENSG00000207225","RNU6-692P"
"764","ENSG00000207863","MIR125B2"
"765","ENSG00000263866",""
"766","ENSG00000266747",""
"767","ENSG00000207366","RNU6-297P"
"768","ENSG00000240299","RN7SL187P"
"769","ENSG00000242120",""
"770","ENSG00000264897","MIR3921"
"771","ENSG00000057663","ATG5"
"772","ENSG00000108688","CCL7"
"773","ENSG00000225183",""
"774","ENSG00000200711","RNA5SP28"
"775","ENSG00000222309",""
"776","ENSG00000240853","RN7SL328P"
"777","ENSG00000238379","RNA5SP103"
"778","ENSG00000252657",""
"779","ENSG00000206685","RNU6-1189P"
"780","ENSG00000265213","MIR3684"
"781","ENSG00000222152","RNU6-1166P"
"782","ENSG00000199862",""
"783","ENSG00000201584",""
"784","ENSG00000252943","RNU6-264P"
"785","ENSG00000206627","RNU6-969P"
"786","ENSG00000221266",""
"787","ENSG00000264175","MIR3189"
"788","ENSG00000201885",""
"789","ENSG00000252802",""
