Supplementary Table 4. Expression changes between control and Cushing's subjects whose age are between 40 and 60 years old,,,,,,,,
,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol
4563,ENSG00000116667,414.2061444,-0.413773686,0.167811645,-2.465703057,0.013674464,0.906220114,C1orf21
4793,ENSG00000118515,269.3438139,0.481590879,0.194808245,2.4721278,0.013431149,0.906220114,SGK1
6120,ENSG00000129946,181.5426541,-0.49307838,0.195206816,-2.525928091,0.01153931,0.906220114,SHC2
6533,ENSG00000132561,753.6759394,-0.374102383,0.149230489,-2.506876348,0.012180331,0.906220114,MATN2
6923,ENSG00000135077,138.8404792,0.480374285,0.192860021,2.490792451,0.012745855,0.906220114,HAVCR2
6937,ENSG00000135144,412.9855644,0.417900434,0.168260877,2.483645879,0.013004506,0.906220114,DTX1
7074,ENSG00000135845,117.9875091,-0.386825856,0.157428847,-2.457147234,0.014004528,0.906220114,PIGC
7095,ENSG00000135932,580.3899377,0.309521353,0.122066104,2.535686356,0.01122272,0.906220114,CAB39
7471,ENSG00000137845,313.5006763,0.336006893,0.134733752,2.493858353,0.012636296,0.906220114,ADAM10
7588,ENSG00000138448,943.7146477,0.467678098,0.188663167,2.478905158,0.013178634,0.906220114,ITGAV
7716,ENSG00000139278,306.2327026,0.391212058,0.154588248,2.530671398,0.011384445,0.906220114,GLIPR1
9738,ENSG00000155275,74.36346323,-0.451452909,0.18107777,-2.493143744,0.012661758,0.906220114,TRMT44
10618,ENSG00000162526,63.45879404,-0.435858652,0.176714044,-2.466463008,0.013645482,0.906220114,TSSK3
10782,ENSG00000163131,706.0776125,0.45498643,0.184159192,2.470614822,0.013488101,0.906220114,CTSS
12483,ENSG00000169764,2484.929399,0.258414539,0.104946109,2.46235465,0.013802811,0.906220114,UGP2
12539,ENSG00000170017,176.8731526,0.473226352,0.192279073,2.461143299,0.013849504,0.906220114,ALCAM
13993,ENSG00000177595,139.8641022,-0.457798154,0.18170781,-2.519419255,0.01175486,0.906220114,PIDD1
15780,ENSG00000187474,194.8697334,0.48346923,0.193938242,2.492903019,0.012670345,0.906220114,FPR3
16732,ENSG00000197976,368.8647284,-0.329231185,0.133608351,-2.464151251,0.013733814,0.906220114,AKAP17A
19339,ENSG00000243317,170.566378,0.335774342,0.135074924,2.485837722,0.012924689,0.906220114,C7orf73
1573,ENSG00000082898,796.6821413,0.291651043,0.119477048,2.441063346,0.014644086,0.915497816,XPO1
1625,ENSG00000084674,103.9026201,0.444762559,0.181941268,2.444539189,0.014503732,0.915497816,APOB
2915,ENSG00000104529,1022.169049,-0.274035082,0.11202469,-2.446202554,0.014436987,0.915497816,EEF1D
7646,ENSG00000138760,1599.538716,0.331812202,0.135819218,2.443043088,0.014563998,0.915497816,SCARB2
347,ENSG00000014164,111.251028,-0.391096369,0.161908859,-2.415534096,0.015712151,0.918108269,ZC3H3
1387,ENSG00000077585,99.97267499,0.442754596,0.18304026,2.418891868,0.015567867,0.918108269,GPR137B
4373,ENSG00000115286,242.9148569,-0.297168283,0.122412926,-2.427589095,0.015199553,0.918108269,NDUFS7
5394,ENSG00000124006,487.9709077,-0.345594427,0.142782844,-2.420419834,0.015502597,0.918108269,OBSL1
6398,ENSG00000131634,221.7555195,-0.378802479,0.157320796,-2.407834741,0.016047443,0.918108269,TMEM204
7375,ENSG00000137393,131.0861716,0.358585434,0.14882201,2.409491944,0.015974749,0.918108269,RNF144B
8544,ENSG00000144891,297.6187661,-0.391645832,0.162497869,-2.410159801,0.015945535,0.918108269,AGTR1
9883,ENSG00000156535,369.367573,0.431238937,0.178464022,2.416391446,0.015675199,0.918108269,CD109
10610,ENSG00000162496,677.29557,-0.38205849,0.158639828,-2.408339035,0.016025291,0.918108269,DHRS3
14659,ENSG00000182087,967.4212125,-0.316624987,0.13065315,-2.423401097,0.015375939,0.918108269,TMEM259
14812,ENSG00000182858,115.3051162,-0.394583269,0.161876973,-2.437550339,0.014787155,0.918108269,ALG12
17802,ENSG00000213339,185.8268845,-0.368963537,0.15234182,-2.421945182,0.015437679,0.918108269,QTRT1
18038,ENSG00000215788,228.1375658,-0.457182886,0.188046933,-2.431216931,0.015048202,0.918108269,TNFRSF25
18674,ENSG00000231389,66.9789926,-0.384390755,0.159468805,-2.410444817,0.015933081,0.918108269,HLA-DPA1
4507,ENSG00000116133,676.6856742,0.449409559,0.18702092,2.402990847,0.016261594,0.919218272,DHCR24
9017,ENSG00000148672,754.3239766,0.220635447,0.091781677,2.403916059,0.016220497,0.919218272,GLUD1
708,ENSG00000053438,363.1399193,-0.458483623,0.190980001,-2.400689189,0.016364229,0.919513832,NNAT
334,ENSG00000013441,1093.273071,-0.44177505,0.18467423,-2.392185686,0.016748367,0.930026947,CLK1
5370,ENSG00000123643,130.3205348,0.402737809,0.168228445,2.393993527,0.016666043,0.930026947,SLC36A1
7901,ENSG00000140526,567.5302644,0.317893634,0.133038302,2.389489562,0.016871803,0.931402473,ABHD2
15264,ENSG00000184990,238.8714818,-0.366923805,0.153760619,-2.386331487,0.017017404,0.93397847,SIVA1
2270,ENSG00000100364,644.0189863,0.381918412,0.161207745,2.369107088,0.01783109,0.953825079,KIAA0930
4095,ENSG00000112902,135.0852262,0.448668446,0.188823006,2.376132314,0.017495188,0.953825079,SEMA5A
4553,ENSG00000116560,1230.820309,-0.236785373,0.099795569,-2.372704286,0.017658395,0.953825079,SFPQ
9735,ENSG00000155256,152.2180099,-0.314659997,0.132967537,-2.366442255,0.017959976,0.953825079,ZFYVE27
11307,ENSG00000164855,90.15104091,-0.416324545,0.17596719,-2.365921426,0.017985261,0.953825079,TMEM184A
14680,ENSG00000182175,142.1938186,-0.435977505,0.184091232,-2.36826871,0.017871551,0.953825079,RGMA
1143,ENSG00000071189,284.7780769,0.316860849,0.134689325,2.352531271,0.018646122,0.957996521,SNX13
1218,ENSG00000073169,159.668217,-0.340164429,0.144716653,-2.350554841,0.018745445,0.957996521,
1667,ENSG00000085872,216.8094585,-0.307202493,0.130176139,-2.359898637,0.018279929,0.957996521,CHERP
5092,ENSG00000121057,649.5630945,-0.259485735,0.110248048,-2.353653776,0.018589917,0.957996521,AKAP1
10231,ENSG00000159459,249.2708062,0.316082997,0.134734037,2.345977332,0.018977262,0.957996521,UBR1
10562,ENSG00000162241,101.7693216,-0.416105847,0.176429223,-2.358485973,0.018349653,0.957996521,SLC25A45
14465,ENSG00000180773,74.31269369,0.391847254,0.16688223,2.348046606,0.01887216,0.957996521,SLC36A4
15339,ENSG00000185291,94.36670557,-0.424740204,0.181014065,-2.346448628,0.018953279,0.957996521,IL3RA
17841,ENSG00000213672,170.9993285,-0.395543831,0.168523657,-2.347111606,0.018919587,0.957996521,NCKIPSD
291,ENSG00000011304,787.6047806,-0.239865385,0.105933794,-2.264295236,0.023555962,0.962633269,PTBP1
602,ENSG00000044459,74.37033051,0.370684692,0.163536223,2.266682482,0.023409629,0.962633269,CNTLN
737,ENSG00000054983,223.9059585,0.310160997,0.136476899,2.272626344,0.023048707,0.962633269,GALC
767,ENSG00000057252,178.4565386,0.378780176,0.164569911,2.30163687,0.021355659,0.962633269,SOAT1
855,ENSG00000063245,448.8561403,-0.244035431,0.104652043,-2.331874511,0.019707294,0.962633269,EPN1
964,ENSG00000066294,223.128488,0.435725862,0.191807222,2.271686417,0.023105457,0.962633269,CD84
1056,ENSG00000068976,89.65274243,-0.45020612,0.192911539,-2.333743864,0.019609138,0.962633269,PYGM
1355,ENSG00000076928,132.7937395,-0.417648304,0.184066089,-2.269012754,0.02326755,0.962633269,ARHGEF1
1865,ENSG00000090382,949.6708221,0.441753072,0.190138861,2.323318175,0.020162066,0.962633269,LYZ
2378,ENSG00000100836,625.0539365,-0.298286257,0.129960007,-2.29521577,0.021720762,0.962633269,PABPN1
2464,ENSG00000101236,180.4045221,0.402307459,0.174055667,2.311372373,0.020812296,0.962633269,RNF24
3031,ENSG00000105204,90.40639639,-0.377324821,0.166069604,-2.272088397,0.023081172,0.962633269,DYRK1B
3070,ENSG00000105373,1262.526312,-0.279364805,0.122304675,-2.284171103,0.022361477,0.962633269,GLTSCR2
3117,ENSG00000105576,577.8745873,-0.275511258,0.120399,-2.288318492,0.02211898,0.962633269,TNPO2
3755,ENSG00000110492,83.64333033,-0.431206844,0.185045852,-2.330270257,0.019791872,0.962633269,MDK
4598,ENSG00000116809,123.4858312,-0.348820725,0.150609144,-2.316066058,0.020554662,0.962633269,ZBTB17
5138,ENSG00000121579,551.1908761,0.2731273,0.118772019,2.299592968,0.021471291,0.962633269,NAA50
6479,ENSG00000132294,432.0993625,0.315616054,0.139341986,2.26504633,0.023509837,0.962633269,EFR3A
6543,ENSG00000132613,273.294625,-0.392693096,0.171183329,-2.293991469,0.021790989,0.962633269,MTSS1L
6893,ENSG00000134897,123.3907429,-0.352097228,0.155433969,-2.265252758,0.023497173,0.962633269,BIVM
7303,ENSG00000136997,165.5431523,0.451322332,0.195151692,2.312674445,0.020740545,0.962633269,MYC
7362,ENSG00000137309,110.3244781,0.443709951,0.194805566,2.277706744,0.022744056,0.962633269,HMGA1
7531,ENSG00000138119,1218.63128,0.34709067,0.150035803,2.313385626,0.020701447,0.962633269,MYOF
7662,ENSG00000138801,259.3315205,0.371036179,0.160318636,2.31436711,0.020647593,0.962633269,PAPSS1
7769,ENSG00000139631,664.0218811,-0.372697995,0.163133257,-2.284623017,0.022334942,0.962633269,CSAD
8429,ENSG00000144115,147.4388701,-0.406080597,0.176476013,-2.301052643,0.021388656,0.962633269,THNSL2
8787,ENSG00000146830,663.5252361,-0.291302042,0.127935847,-2.276938397,0.022789905,0.962633269,GIGYF1
8985,ENSG00000148384,151.0671205,-0.336780245,0.144392797,-2.332389514,0.019680209,0.962633269,INPP5E
10252,ENSG00000159692,603.4710574,-0.297127279,0.127718729,-2.326419012,0.019996208,0.962633269,CTBP1
10476,ENSG00000161547,824.9157513,-0.233861985,0.101817858,-2.296866086,0.02162641,0.962633269,SRSF2
10701,ENSG00000162817,731.0835508,-0.343141703,0.14975338,-2.291378682,0.021941521,0.962633269,C1orf115
11815,ENSG00000166927,403.5963692,0.394182249,0.173957105,2.265973837,0.023452985,0.962633269,MS4A7
12333,ENSG00000169093,184.8189881,-0.320248623,0.140002195,-2.287454302,0.02216932,0.962633269,ASMTL
12922,ENSG00000171723,81.4537235,-0.393777833,0.172353146,-2.284715085,0.02232954,0.962633269,GPHN
13491,ENSG00000174640,62.73213511,0.453959465,0.194255449,2.336920103,0.019443339,0.962633269,SLCO2A1
13592,ENSG00000175197,113.8359855,-0.375688183,0.162553236,-2.311170123,0.02082346,0.962633269,DDIT3
14070,ENSG00000178057,233.3975489,-0.304005616,0.133820212,-2.271746636,0.023101818,0.962633269,NDUFAF3
14077,ENSG00000178104,730.2893854,0.356608831,0.154669953,2.305611561,0.021132347,0.962633269,PDE4DIP
14660,ENSG00000182093,110.0818428,0.362168863,0.159754649,2.26703175,0.023388286,0.962633269,WRB
14868,ENSG00000183098,250.3276213,0.356955036,0.154690825,2.307538517,0.021024818,0.962633269,GPC6
15958,ENSG00000188257,477.201633,0.44745609,0.194488708,2.300679015,0.021409781,0.962633269,PLA2G2A
16672,ENSG00000197774,399.5908459,-0.316428296,0.135356293,-2.337743522,0.019400557,0.962633269,EME2
16839,ENSG00000198373,344.9244883,-0.269278934,0.118843099,-2.26583569,0.023461445,0.962633269,WWP2
17859,ENSG00000213859,114.7522151,-0.358577819,0.153549762,-2.335254801,0.019530114,0.962633269,KCTD11
1108,ENSG00000070423,115.5500074,-0.375923048,0.166329704,-2.260107724,0.023814566,0.965094261,RNF126
2094,ENSG00000099622,2043.118111,-0.344870958,0.152734777,-2.257972713,0.023947361,0.965094261,CIRBP
4853,ENSG00000119314,303.1371924,0.312606619,0.138522108,2.256727267,0.024025122,0.965094261,PTBP3
8857,ENSG00000147324,118.3051705,0.414062346,0.183449408,2.257092849,0.024002274,0.965094261,MFHAS1
5611,ENSG00000125520,530.3201665,-0.329661223,0.146498186,-2.250275118,0.024431486,0.969047194,SLC2A4RG
7088,ENSG00000135919,65.60594383,0.440056575,0.195467957,2.251297773,0.024366684,0.969047194,SERPINE2
13599,ENSG00000175216,404.6653654,0.298888093,0.132640346,2.253372385,0.024235679,0.969047194,CKAP5
12250,ENSG00000168758,242.499173,-0.336808665,0.149783694,-2.248633723,0.024535809,0.969113126,SEMA4C
11362,ENSG00000165072,215.4923888,0.437326905,0.194788878,2.245132833,0.024759606,0.971117576,MAMDC2
11652,ENSG00000166275,162.7756511,0.336115781,0.149742599,2.244623661,0.024792303,0.971117576,C10orf32
217,ENSG00000008394,3943.930907,0.323977264,0.144491788,2.242184624,0.024949442,0.97323445,MGST1
1745,ENSG00000087842,126.0036195,0.405021802,0.181056987,2.236985212,0.025287307,0.982354627,PIR
728,ENSG00000054611,190.3281808,-0.302449049,0.13554437,-2.231365628,0.02565692,0.990106036,TBC1D22A
15450,ENSG00000185818,1277.95194,-0.41021594,0.183890139,-2.230766381,0.025696608,0.990106036,NAT8L
5668,ENSG00000125826,366.7483579,-0.318020234,0.142789211,-2.227200726,0.025933862,0.990312672,RBCK1
12441,ENSG00000169592,435.3135963,-0.408989582,0.183736055,-2.225962568,0.026016689,0.990312672,INO80E
13073,ENSG00000172354,701.0417556,-0.218322521,0.098065282,-2.226297791,0.025994241,0.990312672,GNB2
