Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
76,ENSG00000005059,89.54903264,0.50369682,0.350187897,1.438361588,0.150331485,0.572923065,0.174595211,0.198892632,0.380032455,NA,-0.245496471,0.281933318,0.383884792,0.656230109,CCDC109B
77,ENSG00000005073,25.87711461,-0.792030518,0.547291799,-1.44718141,0.147846122,0.568314205,0.241803156,0.352596222,0.492852352,NA,0.662631327,0.459099874,0.148928327,0.403362775,HOXA11
78,ENSG00000005075,55.65848363,-0.032031105,0.279692462,-0.114522591,0.908823539,0.979678266,-0.111978004,0.153430372,0.46549444,NA,-0.021416583,0.219463995,0.922261151,0.967370584,POLR2J
79,ENSG00000005100,114.8672084,-0.174912928,0.217758818,-0.803241539,0.42183514,0.80028841,0.130696979,0.118038069,0.268188319,NA,0.011719048,0.171004876,0.945363348,0.978322264,DHX33
80,ENSG00000005102,316.2034612,0.734914748,0.275115344,2.671296838,0.00755588,0.158183861,-0.18603247,0.153332665,0.225030228,0.588617412,-0.718972207,0.216164419,0.000880883,0.018795354,MEOX1
81,ENSG00000005108,76.93865558,-0.350343723,0.426359073,-0.821710492,0.411241686,0.795038483,0.182590829,0.253364242,0.471115438,NA,0.284547506,0.342717331,0.406386826,0.674986265,THSD7A
82,ENSG00000005156,65.8603601,0.074274507,0.338529072,0.219403629,0.826335643,0.959560016,0.063774933,0.19178463,0.739485982,NA,-0.025744099,0.269874266,0.924002725,0.968328359,LIG3
83,ENSG00000005175,73.47386717,0.220497182,0.329472088,0.669243891,0.503339912,0.841528015,-0.023411412,0.18694233,0.900338825,NA,-0.038630027,0.262116849,0.88283436,0.950781954,RPAP3
84,ENSG00000005187,25.86634713,-0.675087624,0.428273403,-1.576300604,0.114956543,0.512119137,0.297110764,0.256044105,0.24589046,NA,0.543368604,0.344414014,0.114643479,0.352723849,ACSM3
85,ENSG00000005189,28.812596,0.125031298,0.435391294,0.287169954,0.773982191,0.948958309,-0.229954268,0.26337356,0.382602754,NA,0.307452615,0.350756113,0.380735221,0.653878598,AC004381.6
86,ENSG00000005194,115.792093,-0.071711319,0.222563392,-0.322206265,0.747296438,0.942489029,0.043664387,0.123049425,0.722700148,NA,0.119517321,0.174341348,0.49300557,0.74264301,CIAPIN1
