Supplementary Table 4b. Cushing's effect on gene expression in Obese and Non-obese patients,,,,,,,,,,
,Row.names,log2FC_NotObese_CushingvCon,lfcSE_NotObese_CushingvCon,pvalue_NotObese_CushingvCon,padj_NotObese_CushingvCon,log2FC_Obese_CushingvCon,lfcSE_Obese_CushingvCon,pvalue_Obese_CushingvCon,padj_Obese_CushingvCon,external_gene_id
194,ENSG00000007923,0.258065421,0.142322658,0.069794504,0.254283297,-0.07679874,0.121783515,0.528291061,0.943273533,DNAJC11
195,ENSG00000007933,-1.057544968,0.488781086,0.0304922,0.15856793,-1.061928541,0.440695617,0.0159672,0.412149039,FMO3
196,ENSG00000007944,0.054579876,0.224569578,0.807972734,0.912832896,-0.198451351,0.190382597,0.297234711,0.865770489,MYLIP
197,ENSG00000007952,0.602960858,0.563721794,0.284796178,NA,0.526250146,0.596351288,0.377533551,NA,NOX1
198,ENSG00000007968,0.543438199,0.572563453,0.342553566,NA,1.007041301,0.532497482,0.058602146,NA,E2F2
199,ENSG00000008018,0.155291046,0.168035361,0.355404606,0.616443517,-0.04373683,0.142736865,0.759288082,0.97031473,PSMB1
200,ENSG00000008056,0.561519621,0.585849446,0.33782538,NA,-0.616204001,0.589744982,0.296085282,NA,SYN1
201,ENSG00000008083,-0.478831633,0.216922849,0.02728737,0.1493066,0.169704607,0.17688827,0.337362967,0.890100415,JARID2
202,ENSG00000008086,0.083829127,0.454740108,0.853742707,NA,-0.199909504,0.358086922,0.576659422,0.948241812,CDKL5
203,ENSG00000008118,-0.534083503,0.516500337,0.301116111,NA,0.177828379,0.567120452,0.753852444,NA,CAMK1G
204,ENSG00000008128,-0.606507094,0.294453687,0.039420461,0.184472797,0.037731484,0.246346888,0.878268916,0.986260155,CDK11A
205,ENSG00000008130,-0.075708463,0.11828714,0.522146805,0.747577414,-0.070173165,0.099668467,0.481391759,0.92990098,NADK
206,ENSG00000008196,0.746475055,0.475195744,0.116210738,NA,0.046092729,0.513213154,0.928436566,NA,TFAP2B
207,ENSG00000008197,NA,NA,NA,NA,NA,NA,NA,NA,TFAP2D
208,ENSG00000008226,0.197826573,0.302602194,0.513272057,0.740381943,-0.253399853,0.260750254,0.331144796,0.888169414,DLEC1
